user_id,first_name,last_name,password,position,salary,role
7cab49d4-9d55-41c0-b93b-8916ae079ede,Jsandye,Dorgon,N62ScIrXoG,ut odio,54,car owner
9d63aa44-674f-4229-936e-170b543a58f0,Almira,Heikkinen,Dd2DY2bTTGVK,quis odio,2515,car owner
2b552901-3df5-4d92-bc05-acaba1dfc02e,Alain,Bliven,qN0jxSl,vitae,44899,car owner
afee3800-5dab-4cba-bd59-ea7c8f35a307,Norina,Mulgrew,UGHegtNLg7,ornare consequat,36295,car owner
fa34bd79-7a17-4dd2-b078-c0250c0c414b,Brianna,Olander,AJw7SbEgj,placerat,30680,car owner
c965c053-f685-451d-93a7-374ccabd02cf,Rubi,Angrove,Cxi7cDMzqsE6,hendrerit at,39048,car owner
71a18981-b5d8-4407-824c-e8d4c04a9538,Lombard,Thomesson,8sHivB,semper,19811,employee
110f93a3-11dd-4461-8094-e99c18672c3a,Derward,Gioani,gDKXkeu,tristique,24043,admin
d6b9d795-5215-4bd1-a0e4-5b91e2239813,Katheryn,Aronson,UcVwWglr,in eleifend,35526,admin
cca0cb81-5171-4480-98b6-8861a00d2081,Sheff,Sagar,9sBgbjz3HJhi,justo,27745,car owner
37a2ebf5-a073-4eb0-bcc4-6180921d8faf,Travus,Berks,3K8OGvpK1p3v,in hac,17375,car owner
5a76f48b-8097-460f-bf3d-9ebbf88a9c09,Grazia,Niece,N0uvXDeMp3Vw,mauris non,33093,car owner
ea46e9c2-6a4b-4312-91d5-31d9df9c35ba,Hugh,Latan,SuV6bvdd,amet,77984,car owner
c4100982-baaf-4d1e-a689-a0de312cc7b0,Ravid,Costellow,wEgTfs,quisque porta,51396, dealer
814e7fb5-3bb5-4ee0-8570-2824e204e732,Egon,MacNucator,uOJJc09nY,porttitor,79230,car owner
0a6b678e-0c2b-4247-a6bc-0fe101880d31,Kariotta,Felmingham,R5nJl2QL,sapien iaculis,30268,car owner
7ddb0442-5d47-4eef-97b9-bdde922bfdde,Isabel,Swaffield,f3qnnUfV,nam nulla,57059,car owner
e6395f72-563e-4b50-b0dc-051de87df7f5,Hubie,Lowen,wmS3jZq,sapien placerat,12827,car owner
8203f42e-4b66-4303-b693-ade38f023ca6,Fredelia,Sibbering,OaURcxBp,vestibulum ante,57688,employee
